"model","problem","difficulty","passed","latency_s","error","generated_code"
"qwen3.6-35b-iq4xs","fizzbuzz","easy","True","12.1","","def fizzbuzz(n):
    result = []
    for i in range(1, n + 1):
        if i % 3 == 0 and i % 5 == 0:
            result.append('FizzBuzz')
        elif i % 3 == 0:
            result.append('Fizz')
        elif i % 5 == 0:
            result.append('Buzz')
        else:
            result.append(str"
"qwen3.6-35b-iq4xs","is_palindrome","easy","True","39.3","","def is_palindrome(s):
    cleaned = ''.join(c.lower() for c in s if c.isalnum())
    return cleaned == cleaned[::-1]"
"qwen3.6-35b-iq4xs","two_sum","easy","True","41.6","","def two_sum(nums, target):
    """"""
    Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.
    You may assume that each input would have exactly one solution, and you may not use the same element twice.
    You can return the answ"
"qwen3.6-35b-iq4xs","flatten_list","easy","True","10.0","","def flatten(lst):
    result = []
    for item in lst:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)
    return result"
"qwen3.6-35b-iq4xs","binary_search","medium","True","3.3","","def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1"
"qwen3.6-35b-iq4xs","merge_intervals","medium","True","50.1","","def merge_intervals(intervals):
    if not intervals:
        return []
    
    # Sort intervals by start time
    intervals.sort(key=lambda x: x[0])
    
    merged = []
    for interval in intervals:
        # If the merged list is empty or if the current interval does not overlap
        # with "
"qwen3.6-35b-iq4xs","longest_common_prefix","medium","True","47.6","","def longest_common_prefix(strs):
    if not strs:
        return """"
    
    # Start with the first string as the prefix
    prefix = strs[0]
    
    for s in strs[1:]:
        # Shorten the prefix until it's a prefix of s
        while not s.startswith(prefix):
            prefix = prefix[:-1]
   "
"qwen3.6-35b-iq4xs","valid_parentheses","medium","True","3.4","","def is_valid(s: str) -> bool:
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}
    
    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'
            if mapping[char] != top_element:
                return False
        else:
            st"
"qwen3.6-35b-iq4xs","lru_cache","hard","True","74.5","","class LRUCache:
    def __init__(self, capacity: int):
        self.capacity = capacity
        self.cache = {}
        self.order = []

    def get(self, key: int) -> int:
        if key in self.cache:
            self.order.remove(key)
            self.order.append(key)
            return self.cac"
"qwen3.6-35b-iq4xs","word_ladder","hard","True","74.3","","def word_ladder(begin, end, word_list):
    word_set = set(word_list)
    if end not in word_set:
        return 0
    
    from collections import deque
    queue = deque([(begin, 1)])
    visited = {begin}
    
    while queue:
        current_word, length = queue.popleft()
        if current_word"
"qwen3.6-35b-iq3xxs","fizzbuzz","easy","True","6.6","","def fizzbuzz(n):
    result = []
    for i in range(1, n + 1):
        if i % 3 == 0 and i % 5 == 0:
            result.append('FizzBuzz')
        elif i % 3 == 0:
            result.append('Fizz')
        elif i % 5 == 0:
            result.append('Buzz')
        else:
            result.append(str"
"qwen3.6-35b-iq3xxs","is_palindrome","easy","True","1.5","","def is_palindrome(s):
    cleaned = ''.join(c.lower() for c in s if c.isalnum())
    return cleaned == cleaned[::-1]"
"qwen3.6-35b-iq3xxs","two_sum","easy","False","7.3","SyntaxError: invalid syntax (<unknown>, line 23)","def two_sum(nums, target):
    """"""
    Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.
    
    Args:
        nums: List[int] "
"qwen3.6-35b-iq3xxs","flatten_list","easy","True","22.4","","def flatten(lst):
    result = []
    for item in lst:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)
    return result"
"qwen3.6-35b-iq3xxs","binary_search","medium","True","18.0","","def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1"
"qwen3.6-35b-iq3xxs","merge_intervals","medium","True","12.0","","def merge_intervals(intervals):
    if not intervals:
        return []
    
    # Sort by start time
    intervals.sort(key=lambda x: x[0])
    
    merged = []
    for interval in intervals:
        # If the merged list is empty or there's no overlap
        if not merged or merged[-1][1] < interv"
"qwen3.6-35b-iq3xxs","longest_common_prefix","medium","True","4.5","","def longest_common_prefix(strs):
    if not strs:
        return """"
    
    # Start with the first string as the prefix
    prefix = strs[0]
    
    for s in strs[1:]:
        # Shorten the prefix until it's a prefix of s
        while not s.startswith(prefix):
            prefix = prefix[:-1]
   "
"qwen3.6-35b-iq3xxs","valid_parentheses","medium","True","28.7","","def is_valid(s: str) -> bool:
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}
    
    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'
            if mapping[char] != top_element:
                return False
        else:
            st"
"qwen3.6-35b-iq3xxs","lru_cache","hard","True","34.6","","class LRUCache:
    def __init__(self, capacity: int):
        self.capacity = capacity
        self.cache = {}
        self.order = []

    def get(self, key: int) -> int:
        if key in self.cache:
            self.order.remove(key)
            self.order.append(key)
            return self.cac"
"qwen3.6-35b-iq3xxs","word_ladder","hard","True","7.1","","def word_ladder(begin, end, word_list):
    word_set = set(word_list)
    if end not in word_set:
        return 0
    
    from collections import deque
    queue = deque([(begin, 1)])
    visited = {begin}
    
    while queue:
        current_word, length = queue.popleft()
        if current_word"
"qwen3.5-122b-iq2xxs","fizzbuzz","easy","True","50.6","","def fizzbuzz(n):
    result = []
    for i in range(1, n + 1):
        if i % 3 == 0 and i % 5 == 0:
            result.append(""FizzBuzz"")
        elif i % 3 == 0:
            result.append(""Fizz"")
        elif i % 5 == 0:
            result.append(""Buzz"")
        else:
            result.append(str"
"qwen3.5-122b-iq2xxs","is_palindrome","easy","True","45.8","","def is_palindrome(s):
    cleaned = ''.join(char.lower() for char in s if char.isalnum())
    return cleaned == cleaned[::-1]"
"qwen3.5-122b-iq2xxs","two_sum","easy","True","160.5","","def two_sum(nums, target):
    seen = {}
    for i, num in enumerate(nums):
        complement = target - num
        if complement in seen:
            return [seen[complement], i]
        seen[num] = i"
"qwen3.5-122b-iq2xxs","flatten_list","easy","True","99.2","","def flatten(lst):
    result = []
    for item in lst:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)
    return result"
